account_id,trade_count,reward_count,log_trade,log_reward,residual,upper_bound,lower_bound,user_type
A_06d5bd3da9,338,1.0,5.82600010738045,0.6931471805599453,-0.30450043531604354,2.5427256469213813,-0.5474304151694034,Normal
A_0ad0445c5a,408,1.0,6.013715156042802,0.6931471805599453,-0.33882905120149853,2.5770542628068362,-0.5131017992839484,Normal
A_0bfb0b4311,4238,1.0,8.352082671352637,0.6931471805599453,-0.7664608303482322,3.00468604195357,-0.08547002013721472,Normal
A_0e72128b0d,364,2.0,5.8998973535824915,1.0986122886681098,0.08745062478190646,2.5562396949315955,-0.5339163671591889,Normal
A_1a7c006b71,356,2.0,5.877735781779639,1.0986122886681098,0.0915034489494908,2.552186870764011,-0.5379691913267732,Normal
A_1b6957bd93,567,2.0,6.342121418721152,1.0986122886681098,0.006578365601685565,2.637111954111816,-0.453044107978968,Normal
A_1f97e16953,199,0.0,5.298317366548036,0.0,-0.9011469983255903,2.4462250293709826,-0.6439310327198019,Normal
A_26ffea8fd9,1036,8.0,6.9440872082295275,2.1972245773362196,0.9951054346165336,2.747197173765078,-0.3429588883257062,Normal
A_27fd29fd55,275,1.0,5.62040086571715,0.6931471805599453,-0.2669012260693965,2.505126437674734,-0.5850296244160504,Normal
A_2ba62f7b20,1084,3.0,6.98933526597456,1.3862943611198906,0.17590042527647332,2.7554719668888095,-0.33468409520197495,Normal
A_2db64f326b,614,19.0,6.421622267806518,2.995732273553991,1.8891595368428062,2.6516507677565766,-0.4385052943342076,Reward Hunter
A_33849d660b,584,3.0,6.371611847231857,1.3862943611198906,0.2888673403777309,2.642505051787552,-0.4476510103032325,Normal
A_359a23d0bd,156,3.0,5.056245805348308,1.3862943611198906,0.529416491457316,2.401955900707967,-0.6882001613828176,Normal
A_3943c4c480,3702,1.0,8.216898580913613,0.6931471805599453,-0.7417388767937615,2.979964088399099,-0.11019197369168543,Normal
A_3b4f58349f,176,2.0,5.176149732573829,1.0986122886681098,0.2198068437247367,2.4238834759887653,-0.6662725861020191,Normal
A_3cab2969e5,869,0.0,6.76849321164863,0.0,-1.1700071788501292,2.7150852098955216,-0.37507085219526304,Normal
A_3cfd9478f0,317,0.0,5.762051382780177,0.0,-0.9859529157503946,2.531030946795787,-0.5591251152949976,Normal
A_4081f88bb0,1279,3.0,7.154615356913663,1.3862943611198906,0.14567462933846498,2.7856977628268176,-0.3044582992639666,Normal
A_40cfe40ac2,891,1.0,6.79346613258001,0.6931471805599453,-0.48142695131978985,2.7196521629251276,-0.37050389916565707,Normal
