account_id,trade_count,reward_count,log_trade,log_reward,residual,upper_bound,lower_bound,user_type
A_06d5bd3da9,338,1.0,5.82600010738045,0.6931471805599453,-0.30450043531604354,1.6156788282941457,0.3796164034578319,Normal
A_0ad0445c5a,408,1.0,6.013715156042802,0.6931471805599453,-0.33882905120149853,1.6500074441796007,0.41394501934328687,Normal
A_0bfb0b4311,4238,1.0,8.352082671352637,0.6931471805599453,-0.7664608303482322,2.0776392233263343,0.8415767984900205,Heavy Trader
A_0e72128b0d,364,2.0,5.8998973535824915,1.0986122886681098,0.08745062478190646,1.6291928763043604,0.39313045146804637,Normal
A_1a7c006b71,356,2.0,5.877735781779639,1.0986122886681098,0.0915034489494908,1.6251400521367758,0.389077627300462,Normal
A_1b6957bd93,567,2.0,6.342121418721152,1.0986122886681098,0.006578365601685565,1.710065135484581,0.47400271064826727,Normal
A_1f97e16953,199,0.0,5.298317366548036,0.0,-0.9011469983255903,1.5191782107437473,0.28311578590743336,Heavy Trader
A_26ffea8fd9,1036,8.0,6.9440872082295275,2.1972245773362196,0.9951054346165336,1.820150355137843,0.5840879303015291,Reward Hunter
A_27fd29fd55,275,1.0,5.62040086571715,0.6931471805599453,-0.2669012260693965,1.5780796190474988,0.3420171942111848,Normal
A_2ba62f7b20,1084,3.0,6.98933526597456,1.3862943611198906,0.17590042527647332,1.8284251482615743,0.5923627234252603,Normal
A_2db64f326b,614,19.0,6.421622267806518,2.995732273553991,1.8891595368428062,1.7246039491293415,0.48854152429302766,Reward Hunter
A_33849d660b,584,3.0,6.371611847231857,1.3862943611198906,0.2888673403777309,1.7154582331603168,0.47939580832400275,Normal
A_359a23d0bd,156,3.0,5.056245805348308,1.3862943611198906,0.529416491457316,1.4749090820807316,0.23884665724441767,Normal
A_3943c4c480,3702,1.0,8.216898580913613,0.6931471805599453,-0.7417388767937615,2.052917269771864,0.8168548449355498,Heavy Trader
A_3b4f58349f,176,2.0,5.176149732573829,1.0986122886681098,0.2198068437247367,1.4968366573615302,0.26077423252521614,Normal
A_3cab2969e5,869,0.0,6.76849321164863,0.0,-1.1700071788501292,1.788038391268286,0.5519759664319722,Heavy Trader
A_3cfd9478f0,317,0.0,5.762051382780177,0.0,-0.9859529157503946,1.6039841281685514,0.3679217033322376,Heavy Trader
A_4081f88bb0,1279,3.0,7.154615356913663,1.3862943611198906,0.14567462933846498,1.8586509441995824,0.6225885193632686,Normal
A_40cfe40ac2,891,1.0,6.79346613258001,0.6931471805599453,-0.48142695131978985,1.792605344297892,0.5565429194615782,Normal
A_48fbd03d61,170,4.0,5.14166355650266,1.6094379124341003,0.7369391685258411,1.4905299563264163,0.25446753149010226,Reward Hunter
A_4943ad62b4,1010,5.0,6.918695219020472,1.791759469228055,0.5942839171545999,1.8155067644916119,0.5794443396552981,Normal
A_507a86d368,1145,1.0,7.044032897274685,0.6931471805599453,-0.5272496505661176,1.8384280435442197,0.602365618707906,Normal
A_522c68dd44,1339,1.0,7.200424892944957,0.6931471805599453,-0.5558500253638855,1.8670284183419876,0.6309659935056738,Normal
A_55021b4ae2,38,5.0,3.6635616461296463,1.791759469228055,1.1895703945888911,1.2202202870573209,-0.015842137778993126,Reward Hunter
A_59b90616d6,1524,5.0,7.329749689041512,1.791759469228055,0.5191118352682227,1.8906788463779893,0.6546164215416753,Normal
A_5cd5d675fd,684,2.0,6.529418838262226,1.0986122886681098,-0.027673875854606234,1.7443173769408729,0.5082549521045591,Normal
A_60a63690ae,1504,0.0,7.316548177182976,0.0,-1.270233391559298,1.888264603977455,0.6522021791411411,Heavy Trader
A_64a414bc30,857,1.0,6.754604099487962,0.6931471805599453,-0.47432001015523595,1.7854984031333383,0.5494359782970243,Normal
A_68f6513965,688,3.0,6.535241271013659,1.3862943611198906,0.2589434121866163,1.745382161351431,0.5093197365151173,Normal
A_6960c2ee08,784,1.0,6.665683717782408,0.6931471805599453,-0.45805858812375744,1.7692369811018596,0.5331745562655458,Normal
A_6b3a8b213d,37,0.0,3.6375861597263857,0.0,-0.5974387762399165,1.2154699886580733,-0.02059243617824047,Normal
A_7620582c70,162,1.0,5.093750200806762,0.6931471805599453,-0.17058935064779568,1.4817677436258978,0.24570531878958402,Normal
A_78e950c1a2,674,3.0,6.51471269087253,1.3862943611198906,0.26269760103487516,1.7416279725031725,0.5055655476668585,Normal
A_7ba723a337,114,0.0,4.74493212836325,0.0,-0.7999460055778171,1.4179772179959742,0.1819147931596602,Heavy Trader
A_7e27164ab6,1236,16.0,7.1204443723924875,2.833213344056216,1.5988426722751172,1.852401884199256,0.616339459362942,Reward Hunter
A_8413984c30,228,0.0,5.43372200355424,0.0,-0.9259092845994861,1.5439404970176431,0.3078780721813291,Heavy Trader
A_853f70d58b,288,4.0,5.666426688112432,1.6094379124341003,0.640972478032724,1.5864966468195334,0.3504342219832194,Reward Hunter
A_8860be39b3,239,1.0,5.480638923341991,0.6931471805599453,-0.24134209232177717,1.5525204852998793,0.3164580604635655,Normal
A_89cf7b96c2,768,3.0,6.645090969505644,1.3862943611198906,0.23885451610962982,1.7654710574284178,0.5294086325921038,Normal
A_9366ce5043,750,0.0,6.621405651764134,0.0,-1.1431083639666937,1.7611395763848505,0.5250771515485367,Heavy Trader
A_946b028740,129,0.0,4.867534450455582,0.0,-0.8223670530738169,1.4403982654919738,0.2043358406556599,Heavy Trader
A_94cf7bdada,78,0.0,4.3694478524670215,0.0,-0.7312788658353067,1.3493100782534637,0.11324765341714971,Heavy Trader
A_9788666227,1500,1.0,7.313886831633462,0.6931471805599453,-0.576599514222729,1.8877779072008312,0.6517154823645174,Normal
A_9a5e1e7fac,2034,0.0,7.618251097876695,0.0,-1.3254076769978838,1.9434388894160408,0.7073764645797268,Heavy Trader
A_ace0a74506,1068,4.0,6.974478911025045,1.6094379124341003,0.4017608504170176,1.8257082744352395,0.5896458495989257,Normal
A_ae270b7bf6,1661,6.0,7.415776975415394,1.9459101490553132,0.6575301713615005,1.9064111901119696,0.6703487652756558,Reward Hunter
A_b2bc71e131,418,3.0,6.037870919922137,1.3862943611198906,0.3499006149101245,1.654424958627923,0.41836253379160915,Normal
A_c462ca9c6b,1862,4.0,7.529943370601589,1.6094379124341003,0.3001796175499407,1.9272895073023166,0.6912270824660026,Normal
A_c668740478,1109,2.0,7.01211529430638,1.0986122886681098,-0.1159475723264094,1.8325910734126762,0.5965286485763622,Normal
A_c91db6cabf,46,5.0,3.8501476017100584,1.791759469228055,1.1554482629623437,1.2543424186838683,0.0182799938475543,Reward Hunter
A_cab220ef3c,2183,8.0,7.688913336864796,2.1972245773362196,0.8588944581733926,1.9563613315809838,0.72029890674467,Reward Hunter
A_cf3fcea289,706,1.0,6.561030665896573,0.6931471805599453,-0.43892003506138944,1.7500984280394918,0.5140360032031778,Normal
A_d444580218,440,10.0,6.089044875446846,2.3978952727983707,1.352143027762509,1.6637834574540187,0.42772103261770467,Reward Hunter
